iteration,elapsed_seconds,temperature,current_cost,best_cost,acceptance_ratio,digraph_cost,single_letter_cost
1000,0.18,0.09135172474836409,2.1446738533147895,1.8481302043963,0.838,1.9393632498983933,2.053106034163962
2000,0.36,0.08261686238355864,1.9879190774873872,1.820620644217427,0.811,1.7825672174675933,2.053518600197938
3000,0.54,0.0747172094331596,2.1881051571230787,1.820620644217427,0.826,1.9631764989128646,2.2492865821021417
4000,0.72,0.0675729049060283,1.960678951751568,1.820620644217427,0.791,1.7648326548387092,1.9584629691285864
5000,0.9,0.061111723953286505,2.0266088144547503,1.8108790823973577,0.757,1.8297015107172023,1.9690730373754792
6000,1.08,0.05526834771623851,2.0138529723357848,1.8108790823973577,0.742,1.806221738373271,2.0763123396251384
7000,1.26,0.0499837029899199,1.893527312007771,1.7283157252691017,0.711,1.714431105381341,1.7909620662642978
8000,1.44,0.045204365026647556,1.933774070460628,1.7283157252691017,0.712,1.7450784319998822,1.8869563846074584
9000,1.62,0.04088201744225495,2.029945029151901,1.7283157252691017,0.676,1.8215087992299852,2.08436229921916
10000,1.8,0.03697296376497267,2.0404264623695085,1.7283157252691017,0.677,1.819131331943782,2.2129513042572646
11000,1.98,0.03343768568899133,1.9460369504976192,1.7283157252691017,0.614,1.7549894033564803,1.910475471411388
12000,2.16,0.030240443566902198,2.216056114157247,1.7283157252691017,0.588,1.9600774537312178,2.5597866042602884
13000,2.34,0.027348915102221663,1.916109318055943,1.7020067743169471,0.556,1.7379967998782555,1.7811251817768756
14000,2.52,0.024733868589386858,1.8231300130237131,1.6768496471186671,0.518,1.6478053344953139,1.753246785283992
15000,2.7,0.022368867397864776,1.8145584493436595,1.6768496471186671,0.501,1.6454579181738576,1.6910053116980182
16000,2.88,0.020230002712877736,1.8490507137525043,1.6768496471186671,0.485,1.6753266111242078,1.737241026282964
17000,3.06,0.018295651830906107,1.862200917647813,1.6768496471186671,0.446,1.6898250559530053,1.7237586169480756
18000,3.24,0.016546259566473494,1.7957488113259792,1.6768496471186671,0.443,1.6326237320058585,1.6312507932012068
19000,3.42,0.01496414056036158,1.732399358742918,1.6768496471186671,0.417,1.5747324009241865,1.5766695781873157
20000,3.6,0.013533300490703223,1.704250484151551,1.6759053484990847,0.373,1.5540038642768814,1.502466198746695
21000,3.78,0.01223927437949985,1.750284487840333,1.673244638632996,0.403,1.5963268842179605,1.5395760362237243
22000,3.95,0.01106898035993417,1.7504239505751742,1.6472258954020984,0.346,1.5980933117162843,1.5233063885888976
23000,4.14,0.010010587426148968,1.72995624727572,1.6472258954020984,0.317,1.5747613634068285,1.5519488386889155
24000,4.31,0.00905339582851765,1.6739941182074838,1.6472258954020984,0.295,1.5274859845978175,1.4650813360966624
25000,4.49,0.008187728905270846,1.701534029840631,1.629693621196978,0.254,1.5534029804686058,1.4813104937202515
26000,4.67,0.007404835256958415,1.6853628148889612,1.629693621196978,0.259,1.5337727117799989,1.5159010310896226
27000,4.85,0.006696800274786406,1.7225190887339037,1.629693621196978,0.264,1.5664386424759198,1.560804462579838
28000,5.03,0.006056466128430861,1.7023026811874145,1.629693621196978,0.28,1.5471495028973228,1.5515317829009154
29000,5.21,0.005477359404450843,1.6686610741227617,1.629693621196978,0.217,1.526050121379407,1.4261095274335451
30000,5.39,0.004953625663766243,1.6555062316430407,1.629693621196978,0.211,1.5065803446914585,1.489258869515821
31000,5.57,0.00447997025661378,1.683609700482883,1.629693621196978,0.218,1.5203173359927342,1.632923644901487
32000,5.75,0.004051604796654096,1.6850450424218966,1.629693621196978,0.202,1.5286289913352906,1.5641605108660601
33000,5.93,0.003664198753113656,1.6811068118816752,1.629693621196978,0.178,1.5362136106459912,1.4489320123568405
34000,6.11,0.003313835671585602,1.623615048035127,1.6129486003121707,0.154,1.4836396549239765,1.399753931111504
35000,6.29,0.0029969735809067814,1.6111009070648339,1.6100884140220464,0.138,1.4703825047313472,1.4071840233348658
36000,6.47,0.0027104091858470426,1.6297497748411338,1.6100884140220464,0.124,1.4839577572456013,1.457920175955326
37000,6.65,0.002451245483619273,1.6183790043648523,1.6097588295211591,0.117,1.4790527783198784,1.3932622604497389
38000,6.83,0.002216862476831559,1.634133369343323,1.6097588295211591,0.108,1.4957551673370386,1.3837820200628448
39000,7.01,0.002004890686806083,1.627985492354718,1.6097588295211591,0.103,1.4878434579764692,1.4014203437824873
40000,7.19,0.001813187199499512,1.6254486116052556,1.6097588295211591,0.085,1.4838898245654848,1.4155878703977067
41000,7.37,0.0016398140018627717,1.6234562245261568,1.6097588295211591,0.09,1.484803398745657,1.3865282578049987
42000,7.55,0.001483018389633145,1.6137931177782203,1.6089708853843252,0.1,1.4721503743935598,1.4164274338466052
43000,7.73,0.0013412152484926392,1.6080579773982033,1.6001024323167594,0.077,1.4674635469339037,1.4059443046429976
44000,7.91,0.0012129710294652223,1.6008515061446609,1.5940182789148178,0.043,1.4600708377847886,1.4078066835987213
45000,8.09,0.0010969892565533238,1.601403036123255,1.5940182789148178,0.066,1.460668005752917,1.4073503037033788
46000,8.27,0.0009920974201040604,1.5983546597058704,1.5940116745075752,0.043,1.45751655394677,1.4083810575910038
47000,8.45,0.0008972351234045918,1.596933925158435,1.5940116745075752,0.037,1.4561030573864815,1.408308677719534
48000,8.63,0.0008114433626754253,1.594641017686993,1.593447952725101,0.041,1.4539905259620194,1.4065049172497364
49000,8.81,0.0007338548320885231,1.5952589970454718,1.593447952725101,0.039,1.4548148128349707,1.404441842105011
50000,8.99,0.0006636851557994564,1.5960264196930969,1.593447952725101,0.041,1.4557710012102458,1.4025541848285104
51000,9.17,0.0006002249583544541,1.5950677499868164,1.593447952725101,0.028,1.4549323890366868,1.401353609501297
52000,9.35,0.0005428326933086744,1.5955495563718758,1.593447952725101,0.027,1.4554074341393322,1.401421222325436
53000,9.53,0.0004909281575571169,1.5950777982766462,1.593447952725101,0.024,1.4545546962264582,1.4052310205018799
54000,9.71,0.0004439866258117547,1.5936266943679405,1.5931211820105948,0.021,1.4533066216766033,1.4032007269133708
55000,9.89,0.00040153354592779226,1.5940571835948365,1.5931211820105948,0.023,1.4536857061910915,1.4037147740374492
56000,10.07,0.0003631397414518198,1.5932055542520902,1.5929237030088106,0.011,1.4528732819131436,1.4033227233894674
57000,10.25,0.0003284170728923575,1.595804255062937,1.5929237030088106,0.021,1.4552544691235372,1.4054978593939973
58000,10.43,0.00029701451385070804,1.5935679703315204,1.5929237030088106,0.025,1.4531775101607225,1.4039046017079795
59000,10.61,0.0002686146023440346,1.5936911727429297,1.5929237030088106,0.019,1.453207670518057,1.4048350222487265
60000,10.79,0.0002429302314455628,1.5930248982573763,1.5929237030088106,0.014,1.4527214734149396,1.4030342484243663
61000,10.97,0.00021970174679710716,1.5931524866359354,1.5929237030088106,0.019,1.4528212609764377,1.4033122565949778
62000,11.15,0.0001986943216514267,1.5931211820105948,1.5929237030088106,0.011,1.4527950395074232,1.4032614250317166
63000,11.32,0.0001796955829075841,1.5930513296716342,1.5929237030088106,0.015,1.4527428216728715,1.4030850799876275
64000,11.5,0.00016251346413987753,1.5929237030088106,1.5929237030088106,0.008,1.452626408002149,1.4029729500666155
65000,11.68,0.00014697426391569138,1.5931211820105948,1.5929237030088106,0.007,1.4527950395074232,1.4032614250317166
66000,11.86,0.0001329208897729646,1.5937487511474089,1.5929237030088106,0.008,1.4533294434801007,1.4041930766730806
67000,12.05,0.00012021127010489031,1.593447952725101,1.5929237030088106,0.014,1.4531651033933608,1.402828493317403
68000,12.23,0.00010871691789690456,1.5929237030088106,1.5929237030088106,0.007,1.452626408002149,1.4029729500666155
