iteration,elapsed_seconds,temperature,current_cost,best_cost,acceptance_ratio,digraph_cost,single_letter_cost
1000,0.19,0.1,2.0522837455275607,1.7623090131277008,0.81,1.8328540215181206,2.194297240094402
2000,0.38,0.0999,2.089521035567382,1.7623090131277008,0.85,1.8708106784377112,2.187103571296705
3000,0.57,0.0998001,1.929772463031016,1.7623090131277008,0.819,1.7366305673723628,1.9314189565865318
4000,0.75,0.0997002999,2.0984821061115073,1.7623090131277008,0.851,1.8594597467155427,2.3902235939596466
5000,0.94,0.0996005996001,2.169175510417538,1.7623090131277008,0.864,1.9428671918693146,2.263083185482234
6000,1.12,0.0995009990004999,2.133957182346112,1.7623090131277008,0.847,1.9014365167738727,2.3252066557223916
7000,1.31,0.0994014980014994,2.0126677994004707,1.7623090131277008,0.845,1.8097922419640993,2.0287555743637147
8000,1.5,0.0993020965034979,2.040474093362568,1.7623090131277008,0.865,1.8365645519494311,2.0390954141313706
9000,1.68,0.09920279440699441,2.1186728120594274,1.7623090131277008,0.846,1.8878333483899101,2.3083946366951738
10000,1.87,0.09910359161258742,2.1928165421693744,1.7623090131277008,0.839,1.9484731967564077,2.4434334541296674
11000,2.06,0.09900448802097483,1.9525320467433906,1.7623090131277008,0.842,1.7398299386344147,2.127021081089758
12000,2.24,0.09890548353295386,2.2383938808263766,1.722672255521815,0.819,1.9795269773750288,2.58866903451348
13000,2.45,0.0988065780494209,2.1901544480755626,1.722672255521815,0.826,1.967637779541807,2.2251666853375554
14000,2.71,0.09870777147137148,2.209793480237872,1.722672255521815,0.836,1.9748875217764408,2.349059584614313
15000,2.9,0.0986090636999001,2.210451273022397,1.722672255521815,0.829,1.9735500320686699,2.369012409537273
16000,3.09,0.0985104546362002,2.082216104659203,1.722672255521815,0.835,1.8769936469917228,2.052224576674803
17000,3.28,0.098411944181564,1.9736985264420501,1.722672255521815,0.847,1.7718177649408524,2.018807615011976
18000,3.47,0.09831353223738244,2.096700680523295,1.722672255521815,0.829,1.8784529610780294,2.1824771944526558
19000,3.66,0.09821521870514506,1.9989859278374424,1.722672255521815,0.829,1.7980065413168878,2.0097938652055465
20000,3.85,0.09811700348643991,1.9894107313762883,1.722672255521815,0.832,1.7896352887042701,1.9977544267201814
21000,4.04,0.09801888648295347,2.0935912082524233,1.722672255521815,0.858,1.8899168184235986,2.036743898288249
22000,4.23,0.09792086759647052,2.1861253333126833,1.722672255521815,0.848,1.947964257944777,2.381610753679066
23000,4.42,0.09782294672887405,2.1517547599062423,1.722672255521815,0.83,1.9369830008591833,2.1477175904705916
24000,4.61,0.09772512378214518,2.1885136752059013,1.722672255521815,0.817,1.9542414977942997,2.3427217741160176
25000,4.8,0.09762739865836303,2.247927145880012,1.722672255521815,0.829,2.001630549285196,2.462965965948158
26000,4.99,0.09752977125970468,2.013449089169187,1.722672255521815,0.849,1.816454228846676,1.9699486032251103
27000,5.18,0.09743224148844497,2.1561860765323138,1.722672255521815,0.853,1.9161707526163938,2.4001532391591973
28000,5.37,0.09733480924695652,2.015136328265961,1.722672255521815,0.838,1.8183823789436053,1.9675394932235555
29000,5.56,0.09723747443770957,2.0837532527291565,1.722672255521815,0.823,1.857286529077538,2.264667236516184
30000,5.75,0.09714023696327186,2.0132504235591644,1.722672255521815,0.851,1.8063050093101582,2.0694541424900623
31000,5.94,0.09704309672630858,2.1079881715247537,1.722672255521815,0.859,1.8939454261737816,2.140427453509721
32000,6.13,0.09694605362958227,1.9611988610849374,1.722672255521815,0.826,1.775577340768603,1.8562152031633419
33000,6.31,0.09684910757595268,2.1048322145464597,1.722672255521815,0.807,1.8960419169162324,2.0879029763022734
34000,6.5,0.09675225846837672,2.083577070316363,1.722672255521815,0.878,1.8688910613229361,2.146860089934268
